team,conf,record,adj_em,adj_o,adj_o_rank,adj_d,adj_t
Duke,ACC,28-2,+40.86,128.8,4,87.9,65.2
Michigan,B10,27-2,+39.50,128.4,5,88.9,71.4
Arizona,B12,28-2,+37.63,126.6,8,89.0,69.9
Florida,SEC,23-6,+35.03,125.8,11,90.8,70.6
Illinois,B10,22-7,+33.12,132.3,1,99.2,65.2
Houston,B12,24-5,+32.67,125.2,14,92.6,63.1
Purdue,B10,22-7,+30.20,129.7,2,99.5,65.0
Michigan St.,B10,24-5,+29.80,122.1,34,92.3,65.4
Iowa St.,B12,24-6,+29.75,123.1,23,93.4,66.4
Connecticut,BE,27-3,+29.27,123.5,19,94.2,64.8
Nebraska,B10,25-4,+28.32,120.4,49,92.1,66.7
Gonzaga,WCC,28-3,+28.27,122.4,29,94.1,68.9
Texas Tech,B12,22-7,+27.66,126.5,9,98.9,66.5
Alabama,SEC,22-7,+26.55,129.6,3,103.0,73.0
Vanderbilt,SEC,22-7,+26.54,125.3,13,98.8,69.1
Kansas,B12,21-8,+26.32,120.3,51,94.0,67.0
Virginia,ACC,25-4,+26.24,122.3,30,96.1,65.5
Tennessee,SEC,20-9,+26.01,121.0,39,95.0,65.0
Louisville,ACC,20-9,+25.89,124.7,17,98.8,70.4
Arkansas,SEC,21-8,+25.52,128.0,6,102.5,70.8
St. John's,BE,23-6,+24.76,119.7,53,95.0,69.7
Saint Mary's,WCC,27-4,+23.61,120.6,45,97.0,65.1
BYU,B12,20-9,+23.35,126.0,10,102.6,69.8
Iowa,B10,20-9,+22.19,122.0,35,99.8,62.7
Kentucky,SEC,19-10,+22.03,121.1,37,99.1,67.7
Utah St.,MWC,24-5,+21.77,123.4,20,101.6,67.6
Saint Louis,A10,26-3,+21.69,120.9,41,99.2,71.3
North Carolina,ACC,23-6,+21.27,122.3,32,101.0,67.6
Texas,SEC,18-11,+21.04,127.3,7,106.3,66.1
Wisconsin,B10,20-9,+21.01,123.7,18,102.7,69.2
Miami FL,ACC,23-6,+20.52,120.7,43,100.1,67.9
Georgia,SEC,20-9,+20.50,124.9,16,104.4,71.0
N.C. State,ACC,19-11,+20.14,123.1,24,102.9,68.8
Villanova,BE,22-7,+20.09,120.6,44,100.6,64.6
Ohio St.,B10,18-11,+20.07,123.2,22,103.1,66.1
Clemson,ACC,21-8,+19.51,116.4,76,96.9,64.0
Santa Clara,WCC,24-7,+19.48,122.8,26,103.4,69.9
Texas A&M,SEC,19-10,+19.23,120.5,48,101.2,70.4
SMU,ACC,19-10,+18.72,124.9,15,106.2,68.8
Auburn,SEC,15-14,+18.66,125.6,12,107.0,67.0
UCLA,B10,19-10,+18.60,122.3,31,103.7,64.6
San Diego St.,MWC,19-9,+17.74,114.5,94,96.7,68.7
Indiana,B10,17-12,+17.25,121.0,40,103.7,65.9
Cincinnati,B12,16-13,+17.20,111.7,129,94.5,67.5
VCU,A10,22-7,+16.98,120.6,47,103.6,69.3
New Mexico,MWC,22-7,+16.74,117.1,63,100.4,69.6
Missouri,SEC,20-9,+16.37,120.6,46,104.2,66.2
UCF,B12,20-8,+16.30,122.6,27,106.3,68.9
TCU,B12,19-10,+15.58,113.6,102,98.1,67.7
Oklahoma,SEC,15-14,+15.47,123.4,21,107.9,66.3
Baylor,B12,15-14,+15.42,122.4,28,107.0,67.6
South Florida,Amer,21-8,+15.05,117.4,61,102.3,71.4
Seton Hall,BE,19-10,+14.97,109.3,167,94.3,65.3
Washington,B10,14-15,+14.70,116.6,72,101.9,66.7
Belmont,MVC,26-5,+13.90,121.5,36,107.6,68.6
Tulsa,Amer,23-6,+13.88,122.3,33,108.4,67.9
Virginia Tech,ACC,18-11,+13.87,117.1,64,103.3,66.8
LSU,SEC,15-14,+13.67,120.2,52,106.6,66.4
West Virginia,B12,17-12,+13.43,111.7,131,98.2,62.1
Boise St.,MWC,18-11,+13.35,116.8,68,103.5,65.3
Akron,MAC,24-5,+13.03,121.0,38,108.0,70.6
Grand Canyon,MWC,18-11,+12.78,110.6,151,97.8,67.5
Providence,BE,14-15,+12.73,123.0,25,110.3,71.0
Minnesota,B10,14-15,+12.71,115.8,81,103.1,62.3
Stanford,ACC,18-11,+12.71,116.2,78,103.5,66.9
Arizona St.,B12,15-14,+12.48,117.4,60,105.0,68.7
USC,B10,18-11,+12.34,114.4,95,102.0,70.3
Northwestern,B10,13-16,+12.14,116.5,73,104.4,65.7
McNeese,Slnd,26-5,+12.13,114.8,89,102.6,66.1
Nevada,MWC,19-10,+11.95,116.6,71,104.6,65.3
Florida St.,ACC,15-14,+11.69,116.5,74,104.8,70.3
Colorado,B12,16-13,+11.49,117.8,58,106.3,68.7
California,ACC,20-9,+11.36,114.2,98,102.8,67.5
Oklahoma St.,B12,17-12,+11.05,117.9,57,106.8,71.9
Dayton,A10,20-9,+11.03,111.9,125,100.8,67.4
George Washington,A10,16-13,+10.86,119.6,54,108.8,69.0
Syracuse,ACC,15-14,+10.68,116.0,79,105.3,67.6
Wake Forest,ACC,15-14,+10.61,116.9,67,106.3,67.9
Mississippi,SEC,12-17,+10.51,115.1,85,104.6,65.8
Northern Iowa,MVC,19-12,+10.40,108.2,190,97.8,62.1
Yale,Ivy,22-5,+10.30,120.8,42,110.5,64.4
Creighton,BE,14-16,+10.26,117.0,65,106.7,67.2
Butler,BE,15-14,+10.13,117.3,62,107.2,68.2
Notre Dame,ACC,13-16,+9.81,115.8,82,106.0,65.4
Utah Valley,WAC,22-7,+9.57,112.5,119,102.9,68.9
Miami OH,MAC,29-0,+9.51,116.6,70,107.1,70.0
Colorado St.,MWC,19-10,+9.51,120.4,50,110.9,62.4
Stephen F. Austin,Slnd,27-4,+9.32,113.6,103,104.3,65.7
Wichita St.,Amer,20-10,+9.03,112.8,114,103.8,66.1
Georgetown,BE,13-16,+9.01,115.0,87,106.0,66.1
High Point,BSth,27-4,+8.54,118.5,56,109.9,69.6
Hofstra,CAA,20-10,+8.23,114.2,97,106.0,65.1
Xavier,BE,14-15,+8.11,115.9,80,107.8,70.1
South Carolina,SEC,12-17,+8.03,113.1,106,105.1,66.4
DePaul,BE,16-13,+7.97,108.6,181,100.6,65.6
Mississippi St.,SEC,13-16,+7.75,113.0,109,105.3,69.1
Illinois St.,MVC,20-11,+7.73,111.5,134,103.8,66.5
Oregon,B10,11-18,+7.33,111.9,126,104.5,65.6
Pittsburgh,ACC,11-18,+7.18,113.0,111,105.8,63.7
Marquette,BE,10-19,+7.14,111.6,133,104.5,68.5
Wyoming,MWC,16-13,+7.06,114.1,99,107.0,66.2
Kansas St.,B12,11-18,+6.89,112.9,113,106.0,72.2
Sam Houston St.,CUSA,21-8,+6.80,115.1,86,108.3,70.0
UNC Wilmington,CAA,25-5,+6.43,113.3,105,106.9,64.6
St. Thomas,Sum,23-8,+6.23,114.5,93,108.3,68.4
Davidson,A10,18-11,+6.06,111.2,139,105.1,63.5
George Mason,A10,22-7,+5.75,112.8,116,107.1,63.6
Hawaii,BW,21-7,+5.59,106.9,217,101.3,69.4
Illinois Chicago,MVC,17-14,+5.43,109.7,163,104.2,66.1
UC Irvine,BW,20-10,+5.41,103.3,284,97.9,68.3
Liberty,CUSA,24-5,+5.31,117.7,59,112.4,64.0
Pacific,WCC,17-14,+5.30,110.6,145,105.3,64.4
UC San Diego,BW,21-9,+5.28,109.3,168,104.0,67.4
Southern Illinois,MVC,16-15,+5.19,104.5,258,99.3,69.0
Seattle,WCC,19-12,+4.99,103.2,285,98.3,67.8
Utah,B12,10-19,+4.91,113.9,100,109.0,66.2
Murray St.,MVC,20-11,+4.67,116.8,69,112.1,71.1
North Dakota St.,Sum,24-7,+4.48,112.7,117,108.2,66.1
Cal Baptist,WAC,21-8,+4.47,107.9,195,103.4,65.1
UNLV,MWC,15-14,+4.19,115.0,88,110.8,69.8
San Francisco,WCC,16-15,+4.00,113.5,104,109.5,65.6
Florida Atlantic,Amer,17-13,+3.95,110.6,147,106.7,69.3
Bradley,MVC,20-11,+3.90,112.0,122,108.1,66.9
UAB,Amer,18-11,+3.87,109.1,172,105.2,68.7
Duquesne,A10,16-13,+3.73,111.4,137,107.7,69.1
UT Rio Grande Valley,Slnd,18-13,+3.72,111.0,143,107.2,66.3
Fresno St.,MWC,12-17,+3.67,108.4,187,104.7,67.9
UC Santa Barbara,BW,18-12,+3.55,114.7,92,111.1,64.1
Penn St.,B10,12-17,+3.53,115.8,83,112.3,67.3
Maryland,B10,11-18,+3.45,111.1,141,107.6,66.4
Memphis,Amer,12-17,+3.37,106.4,225,103.1,69.9
Montana St.,BSky,18-13,+3.24,111.0,142,107.8,65.8
Saint Joseph's,A10,19-10,+3.20,105.6,245,102.4,67.9
William & Mary,CAA,18-11,+2.96,111.7,130,108.7,72.8
Washington St.,WCC,12-19,+2.95,114.7,90,111.8,67.6
Navy,PL,25-6,+2.89,107.3,209,104.4,65.0
Rhode Island,A10,15-14,+2.83,107.3,206,104.5,65.8
Western Kentucky,CUSA,18-11,+2.43,108.8,178,106.4,69.7
Northern Colorado,BSky,20-11,+2.39,111.9,124,109.5,68.5
North Texas,Amer,17-13,+2.20,104.4,260,102.2,64.7
East Tennessee St.,SC,21-10,+2.05,110.6,146,108.6,66.0
Winthrop,BSth,21-10,+2.04,112.8,115,110.8,69.4
Richmond,A10,15-14,+1.93,111.7,132,109.7,67.9
Portland St.,BSky,19-10,+1.76,103.8,276,102.0,67.4
Rutgers,B10,12-17,+1.74,110.3,156,108.6,65.9
Arkansas St.,SB,20-11,+1.73,111.2,138,109.4,72.1
Toledo,MAC,16-13,+1.56,114.2,96,112.7,68.0
Robert Morris,Horz,21-10,+1.54,111.5,135,109.9,64.5
Charleston,CAA,21-10,+1.36,108.7,179,107.4,67.7
Loyola Marymount,WCC,15-16,+1.32,107.1,215,105.7,67.0
Bowling Green,MAC,17-13,+1.28,107.3,208,106.0,68.0
St. Bonaventure,A10,15-14,+1.25,114.7,91,113.5,66.8
Valparaiso,MVC,17-14,+1.14,108.9,176,107.8,65.0
Wright St.,Horz,20-11,+1.07,112.3,120,111.2,66.7
Central Arkansas,ASun,20-11,+1.01,110.4,155,109.4,67.8
UC Davis,BW,17-12,+1.00,109.9,160,108.9,68.3
Troy,SB,20-11,+0.89,111.1,140,110.2,64.8
Harvard,Ivy,16-11,+0.81,107.2,212,106.4,62.8
Kent St.,MAC,21-8,+0.56,111.4,136,110.9,70.1
Boston College,ACC,10-19,+0.44,104.3,264,103.8,65.3
Eastern Washington,BSky,13-18,+0.43,113.7,101,113.3,67.4
Oakland,Horz,16-15,+0.35,115.5,84,115.1,69.7
CSUN,BW,18-12,+0.23,109.0,175,108.7,73.4
Austin Peay,ASun,21-8,+0.16,108.5,182,108.4,69.4
UT Arlington,WAC,15-13,+0.15,103.0,293,102.9,65.1
Georgia Tech,ACC,11-18,+0.06,107.8,197,107.8,70.4
Cornell,Ivy,14-12,-0.05,118.8,55,118.8,71.3
Fordham,A10,16-13,-0.13,104.4,262,104.5,63.9
Penn,Ivy,15-11,-0.42,107.4,204,107.8,69.0
Kennesaw St.,CUSA,18-11,-0.46,110.4,153,110.9,71.1
Idaho,BSky,17-14,-0.50,109.5,165,110.0,67.5
Cal St. Fullerton,BW,15-15,-0.74,110.6,148,111.4,72.4
Merrimack,MAAC,21-10,-0.95,108.2,191,109.1,63.2
Temple,Amer,15-14,-1.05,112.0,123,113.0,64.8
Northern Kentucky,Horz,18-13,-1.12,108.2,189,109.3,69.6
Towson,CAA,16-14,-1.13,104.3,263,105.4,63.5
Lipscomb,ASun,19-12,-1.13,108.1,192,109.2,69.4
Middle Tennessee,CUSA,15-14,-1.20,109.2,169,110.4,65.4
Mercer,SC,19-12,-1.22,112.6,118,113.9,68.9
New Mexico St.,CUSA,13-15,-1.25,110.6,149,111.8,66.8
Charlotte,Amer,15-14,-1.28,113.1,107,114.4,63.4
Texas A&M Corpus Chris,Slnd,17-14,-1.32,104.4,261,105.7,66.4
Oregon St.,WCC,16-15,-1.33,109.1,170,110.5,64.9
Appalachian St.,SB,19-12,-1.42,106.2,233,107.7,62.7
Utah Tech,WAC,18-13,-1.69,110.6,150,112.3,65.8
New Orleans,Slnd,14-17,-1.73,110.4,154,112.1,69.8
Columbia,Ivy,16-11,-1.78,108.5,184,110.3,66.4
Monmouth,CAA,16-14,-2.01,105.7,243,107.7,67.0
Montana,BSky,16-15,-2.11,106.4,226,108.5,69.1
Queens,ASun,18-13,-2.30,116.2,77,118.5,69.3
Campbell,CAA,13-17,-2.46,110.5,152,113.0,69.3
Weber St.,BSky,16-15,-2.46,111.9,127,114.3,68.4
South Alabama,SB,21-10,-2.47,106.7,219,109.2,64.5
Buffalo,MAC,16-13,-2.49,113.0,110,115.5,66.4
Tulane,Amer,17-12,-2.67,107.8,198,110.4,66.8
Green Bay,Horz,17-14,-2.69,112.9,112,115.6,62.9
Marshall,SB,19-12,-2.73,113.1,108,115.8,69.2
FIU,CUSA,14-15,-2.82,107.4,203,110.2,71.7
Howard,MEAC,20-10,-3.02,103.1,291,106.1,68.9
Furman,SC,19-12,-3.06,106.3,231,109.4,65.7
Marist,MAAC,18-11,-3.11,99.7,328,102.8,65.9
Portland,WCC,13-18,-3.11,106.6,222,109.7,68.2
Indiana St.,MVC,11-20,-3.13,106.5,224,109.6,68.1
Massachusetts,MAC,15-15,-3.16,108.6,180,111.8,69.7
Jacksonville St.,CUSA,14-15,-3.22,106.6,223,109.8,64.9
Siena,MAAC,20-11,-3.31,107.3,207,110.6,64.6
Tennessee St.,OVC,21-9,-3.51,108.5,183,112.0,70.2
Samford,SC,18-13,-3.59,109.6,164,113.2,66.9
Youngstown St.,Horz,15-16,-3.61,106.3,228,110.0,67.1
LIU,NEC,21-10,-3.70,105.6,246,109.3,68.0
Tarleton St.,WAC,14-16,-3.75,104.5,259,108.2,69.2
Missouri St.,CUSA,13-16,-3.89,107.8,199,111.6,65.6
Cal Poly,BW,13-17,-3.95,109.1,173,113.1,73.6
Drake,MVC,12-19,-3.95,109.8,162,113.7,67.3
James Madison,SB,17-14,-4.04,109.1,171,113.2,65.2
South Dakota St.,Sum,14-17,-4.06,108.1,193,112.1,66.7
Tennessee Martin,OVC,21-10,-4.07,100.8,317,104.8,64.3
Quinnipiac,MAAC,19-12,-4.28,103.9,269,108.2,69.5
Elon,CAA,14-16,-4.46,112.2,121,116.7,66.7
Drexel,CAA,16-14,-4.54,103.1,290,107.7,64.1
UMBC,AE,20-8,-4.54,106.3,230,110.9,65.8
Stony Brook,CAA,17-13,-4.62,105.2,252,109.8,66.0
Denver,Sum,15-16,-4.97,116.9,66,121.9,67.7
Southern Miss,SB,16-15,-5.15,104.1,266,109.2,68.6
Southeast Missouri,OVC,19-12,-5.18,103.2,286,108.4,69.1
Ohio,MAC,15-14,-5.21,107.2,210,112.5,68.3
Abilene Christian,WAC,13-16,-5.27,102.2,302,107.5,66.9
La Salle,A10,8-21,-5.28,103.5,278,108.8,64.9
Rice,Amer,12-17,-5.33,109.1,174,114.4,65.4
